# Frequency(THz) spec_cv(J/Kg.K.THz) cum_cv(J/Kg.K)
3.563943 5.614456 263.208167
3.567943 5.585863 263.349554
3.571943 5.558478 263.490329
3.575943 5.537123 263.630371
3.579943 5.516186 263.769779
3.583943 5.492795 263.908678
3.587943 5.462328 264.047033
3.591943 5.432258 264.184714
3.595942 5.402598 264.321602
3.599942 5.373862 264.457722
3.603942 5.354205 264.593140
3.607942 5.335040 264.727934
3.611942 5.311700 264.862276
3.615942 5.288937 264.996076
3.619942 5.267380 265.129276
3.623942 5.246248 265.261928
3.627942 5.223729 265.394047
3.631942 5.200640 265.525620
3.635942 5.181540 265.656616
3.639942 5.155488 265.787074
3.643942 5.133098 265.917010
3.647942 5.115963 266.046292
3.651942 5.097523 266.175072
3.655942 5.077233 266.303421
3.659941 5.054362 266.431286
